Comparison: AffectNet vs FairFace
Emotion: Surprise
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.10889026772913465 | 0.0899
0-2 vs 10-19 | -0.16329927138067915 | 0.0636
0-2 vs 20-29 | -1.407334227921989e-05 | 0.0944
0-2 vs 30-39 | 6.700174867132082e-05 | 0.0957
0-2 vs 40-49 | -0.09268217741253938 | 0.0248
0-2 vs 50-59 | -0.06643947747253356 | 0.0392
0-2 vs 60-69 | -0.07890936946752461 | 0.0408
0-2 vs 70+ | -0.03167214058638883 | 0.0225
3-9 vs 10-19 | -0.024372648317923275 | 0.0643
3-9 vs 20-29 | -0.033737658019149165 | 0.0455
3-9 vs 30-39 | -0.007172692492922134 | 0.068
3-9 vs 40-49 | 0.013068480744318817 | 0.0852
3-9 vs 50-59 | -0.008662194912076435 | 0.0518
3-9 vs 60-69 | -0.016195340506411145 | 0.0371
3-9 vs 70+ | 0.059848796598686395 | 0.0608
10-19 vs 20-29 | -0.17690723549555998 | 0.0589
10-19 vs 30-39 | 0.023267145951551202 | 0.0091
10-19 vs 40-49 | -0.07774415014172399 | 0.0518
10-19 vs 50-59 | -0.11072167434369681 | 0.0339
10-19 vs 60-69 | 0.12931210476097807 | 0.0347
10-19 vs 70+ | 0.028160372008109866 | 0.0232
20-29 vs 30-39 | 0.028626128482096752 | 0.0083
20-29 vs 40-49 | -0.051032445938142934 | 0.0664
20-29 vs 50-59 | 0.026788705386956067 | 0.0351
20-29 vs 60-69 | 0.03814241659362025 | 0.0267
20-29 vs 70+ | 0.030388344485914286 | 0.0777
30-39 vs 40-49 | -0.007098380955892272 | 0.0811
30-39 vs 50-59 | 0.049311812405444716 | 0.0866
30-39 vs 60-69 | -0.001868045155579771 | 0.0187
30-39 vs 70+ | 0.17707390830930725 | 0.0901
40-49 vs 50-59 | -0.041244060033699834 | 0.0599
40-49 vs 60-69 | -0.00742174779128975 | 0.0209
40-49 vs 70+ | 0.029878994168205764 | 0.0799
50-59 vs 60-69 | 0.016930118901567755 | 0.0309
50-59 vs 70+ | 0.08344380021323228 | 0.0215
60-69 vs 70+ | 0.09258320609327601 | 0.0584

Emotion: Fear
Age Group Pair | D Value | P Value
0-2 vs 3-9 | 1.2559988742122468 | 0.0909
0-2 vs 10-19 | 0.6306644402913455 | 0.0056
0-2 vs 20-29 | 0.08484515006376422 | 0.0302
0-2 vs 30-39 | 0.6942536821997349 | 0.0656
0-2 vs 40-49 | 0.5916674341208152 | 0.099
0-2 vs 50-59 | 0.9307117173889495 | 0.0769
0-2 vs 60-69 | 0.630756763267866 | 0.0443
0-2 vs 70+ | 0.8595817620235743 | 0.064
3-9 vs 10-19 | 0.32777641076154096 | 0.0933
3-9 vs 20-29 | 0.4661283683709197 | 0.0815
3-9 vs 30-39 | 0.3529262660306641 | 0.0466
3-9 vs 40-49 | 0.30127470124743816 | 0.0447
3-9 vs 50-59 | 0.583818341503527 | 0.0838
3-9 vs 60-69 | 0.21249998793009958 | 0.0355
3-9 vs 70+ | 0.5725992171405039 | 0.0546
10-19 vs 20-29 | -0.13320905316371356 | 0.0181
10-19 vs 30-39 | -0.14925406493181353 | 0.0555
10-19 vs 40-49 | -0.3511396740230034 | 0.0654
10-19 vs 50-59 | -0.04334940547432342 | 0.0363
10-19 vs 60-69 | -0.33784839462126026 | 0.0337
10-19 vs 70+ | -0.0732312352589556 | 0.0302
20-29 vs 30-39 | -0.00865276522076401 | 0.0331
20-29 vs 40-49 | -0.12937855091956987 | 0.0527
20-29 vs 50-59 | 0.1882603028245102 | 0.0212
20-29 vs 60-69 | -0.06166643520920135 | 0.0306
20-29 vs 70+ | 0.16179111282791797 | 0.089
30-39 vs 40-49 | -0.31971695252745136 | 0.0756
30-39 vs 50-59 | 0.019196525288960216 | 0.0346
30-39 vs 60-69 | -0.34674744306872635 | 0.012
30-39 vs 70+ | 0.10496841237081125 | 0.0121
40-49 vs 50-59 | -0.12154103800369864 | 0.0079
40-49 vs 60-69 | -0.48993582789102935 | 0.0576
40-49 vs 70+ | -0.045556516668142394 | 0.0454
50-59 vs 60-69 | -0.10517954177582269 | 0.0046
50-59 vs 70+ | 0.19338170109167468 | 0.097
60-69 vs 70+ | -0.13262416431066162 | 0.0858

Emotion: Disgust
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.08611182072654824 | 0.0307
0-2 vs 10-19 | -0.18271852118985374 | 0.0989
0-2 vs 20-29 | -0.05406053736119337 | 0.0033
0-2 vs 30-39 | -0.09752892179800655 | 0.0699
0-2 vs 40-49 | -0.0938950868596652 | 0.0841
0-2 vs 50-59 | -0.2562716219394305 | 0.0588
0-2 vs 60-69 | -0.156499548021159 | 0.0618
0-2 vs 70+ | -0.031148362321636897 | 0.0619
3-9 vs 10-19 | 0.022650674914684612 | 0.0944
3-9 vs 20-29 | 0.02397272586720534 | 0.0215
3-9 vs 30-39 | 0.10608898554703636 | 0.0607
3-9 vs 40-49 | 0.019832748163557207 | 0.068
3-9 vs 50-59 | 0.029184936618204864 | 0.0352
3-9 vs 60-69 | 0.11193244556345167 | 0.0806
3-9 vs 70+ | 0.05450219111752587 | 0.0707
10-19 vs 20-29 | -0.08475544164584968 | 0.0947
10-19 vs 30-39 | -0.07175708307380509 | 0.0305
10-19 vs 40-49 | 0.04210670023101107 | 0.0277
10-19 vs 50-59 | -0.08241450500060386 | 0.0739
10-19 vs 60-69 | 0.06476167607279154 | 0.0754
10-19 vs 70+ | 0.029869538741802336 | 0.021
20-29 vs 30-39 | 0.054928325302132194 | 0.0426
20-29 vs 40-49 | -0.011956849047851036 | 0.0036
20-29 vs 50-59 | -0.0065335998122530966 | 0.002
20-29 vs 60-69 | -0.018560183596375054 | 0.0209
20-29 vs 70+ | 0.015294458616558305 | 0.0094
30-39 vs 40-49 | 0.023950264311254563 | 0.0193
30-39 vs 50-59 | 0.03186699836511397 | 0.0935
30-39 vs 60-69 | 0.08015966851387145 | 0.0569
30-39 vs 70+ | 0.05299275332092268 | 0.0075
40-49 vs 50-59 | -0.003153405380673743 | 0.019
40-49 vs 60-69 | 0.018726508619276216 | 0.0133
40-49 vs 70+ | 0.069066863203683 | 0.0856
50-59 vs 60-69 | -0.07340326878851916 | 0.0949
50-59 vs 70+ | -0.028526512506923837 | 0.0441
60-69 vs 70+ | 0.12920080689719016 | 0.0904

Emotion: Happiness
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.7388627988559753 | 0.0566
0-2 vs 10-19 | 0.0370106330504338 | 0.0233
0-2 vs 20-29 | 0.5425751088100276 | 0.0739
0-2 vs 30-39 | -0.19649262911938079 | 0.0571
0-2 vs 40-49 | -0.23235807959517973 | 0.0795
0-2 vs 50-59 | -0.833082965426917 | 0.0416
0-2 vs 60-69 | -1.2813668077696898 | 0.0707
0-2 vs 70+ | -1.0795950729121244 | 0.0904
3-9 vs 10-19 | 0.22454546105346448 | 0.0469
3-9 vs 20-29 | 0.2652202388147384 | 0.0192
3-9 vs 30-39 | -0.05322830202136136 | 0.0165
3-9 vs 40-49 | 0.09102464942370911 | 0.012
3-9 vs 50-59 | -0.5154100147427755 | 0.0131
3-9 vs 60-69 | -1.0265384321729336 | 0.0532
3-9 vs 70+ | -1.024473472087005 | 0.0789
10-19 vs 20-29 | 0.8764894575481712 | 0.0532
10-19 vs 30-39 | 0.7529187129270061 | 0.037
10-19 vs 40-49 | 0.7335920541358593 | 0.0905
10-19 vs 50-59 | 0.17213826789755432 | 0.0281
10-19 vs 60-69 | -0.35977485799095316 | 0.0046
10-19 vs 70+ | -0.33458292071575163 | 0.0705
20-29 vs 30-39 | 0.7695000072898301 | 0.0253
20-29 vs 40-49 | 0.7781575435098617 | 0.0882
20-29 vs 50-59 | 0.21109596033173472 | 0.0389
20-29 vs 60-69 | -0.27565243888611735 | 0.0672
20-29 vs 70+ | -0.2993032085608703 | 0.0498
30-39 vs 40-49 | 0.5857758284008292 | 0.02
30-39 vs 50-59 | 0.033655528410311324 | 0.0055
30-39 vs 60-69 | -0.45815732097975503 | 0.0124
30-39 vs 70+ | -0.38989029623939786 | 0.0078
40-49 vs 50-59 | -0.015454342581628573 | 0.0836
40-49 vs 60-69 | -0.58825039906717 | 0.0764
40-49 vs 70+ | -0.4488388617238172 | 0.0061
50-59 vs 60-69 | -1.0486962367980834 | 0.0671
50-59 vs 70+ | -0.9268249563559093 | 0.055
60-69 vs 70+ | -1.451572253954355 | 0.0856

Emotion: Sadness
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.1929985191894049 | 0.0023
0-2 vs 10-19 | 0.1696966433122505 | 0.0857
0-2 vs 20-29 | -0.18739484830972658 | 0.0642
0-2 vs 30-39 | 0.2940559943214412 | 0.0636
0-2 vs 40-49 | -0.13218514735670175 | 0.0053
0-2 vs 50-59 | 0.19289647848840294 | 0.038
0-2 vs 60-69 | 0.11956468469721952 | 0.0894
0-2 vs 70+ | 0.2607194699919723 | 0.0236
3-9 vs 10-19 | -0.16988123797829938 | 0.0038
3-9 vs 20-29 | -0.33782088230430757 | 0.0525
3-9 vs 30-39 | -0.11644069392472169 | 0.0071
3-9 vs 40-49 | -0.5078077398673051 | 0.0974
3-9 vs 50-59 | -0.26645865023582804 | 0.0879
3-9 vs 60-69 | -0.19280975742131262 | 0.0898
3-9 vs 70+ | 0.059540603885207405 | 0.0125
10-19 vs 20-29 | -0.0029443284624606414 | 0.0486
10-19 vs 30-39 | 0.121074908419585 | 0.0414
10-19 vs 40-49 | -0.2748651296427296 | 0.0273
10-19 vs 50-59 | 0.1308361117250736 | 0.0126
10-19 vs 60-69 | 0.16559992883613547 | 0.0464
10-19 vs 70+ | 0.29492483727043306 | 0.0907
20-29 vs 30-39 | -0.012985511058755284 | 0.0025
20-29 vs 40-49 | -0.3903348147264801 | 0.0967
20-29 vs 50-59 | -0.07472403489043515 | 0.0662
20-29 vs 60-69 | 0.01691914299064293 | 0.025
20-29 vs 70+ | 0.16161273627953218 | 0.0841
30-39 vs 40-49 | -0.03925712938474366 | 0.0175
30-39 vs 50-59 | 0.15864199226825984 | 0.0899
30-39 vs 60-69 | 0.11745095623017464 | 0.0238
30-39 vs 70+ | 0.3320355936360675 | 0.0937
40-49 vs 50-59 | -0.14347828272498103 | 0.0299
40-49 vs 60-69 | -0.19860648791496255 | 0.0661
40-49 vs 70+ | -0.0517412505975022 | 0.0955
50-59 vs 60-69 | 0.18468047186902947 | 0.072
50-59 vs 70+ | 0.2690003001527642 | 0.0733
60-69 vs 70+ | 0.2800695963562994 | 0.0517

Emotion: Anger
Age Group Pair | D Value | P Value
0-2 vs 3-9 | -0.06531199940287688 | 0.0371
0-2 vs 10-19 | -0.0515937811830989 | 0.0423
0-2 vs 20-29 | -0.040755506027882665 | 0.091
0-2 vs 30-39 | 0.050161675099155624 | 0.0525
