Comparison: AffectNet vs FairFace
Emotion: Surprise
Race Group Pair | D Value | P Value
White vs Black | -0.12310595363249166 | 0.0947
White vs Indian | 0.10185028741833214 | 0.0712
White vs East | -0.11252242149809186 | 0.0898
White vs S.A | -0.16315402073759602 | 0.0988
White vs M.E | 0.13997000396640577 | 0.0835
White vs L.H | -0.007838322463574625 | 0.0717
Black vs Indian | -0.01373538071457748 | 0.0646
Black vs East | 0.026363076763515066 | 0.0137
Black vs S.A | -0.008348816582376828 | 0.0229
Black vs M.E | 0.0013974931580653313 | 0.0114
Black vs L.H | -0.12186903107410692 | 0.0659
Indian vs East | -0.03619154671888663 | 0.0404
Indian vs S.A | 0.0022516209913194837 | 0.0106
Indian vs M.E | 0.13100029579394515 | 0.0561
Indian vs L.H | 0.063640271709522 | 0.0398
East vs S.A | -0.30578617041497785 | 0.0584
East vs M.E | -0.023782202864333902 | 0.0922
East vs L.H | 0.03032112017752791 | 0.0453
S.A vs M.E | -0.12288466837719542 | 0.0745
S.A vs L.H | -0.09340889572836135 | 0.0113
M.E vs L.H | 0.019121564128522006 | 0.0475

Emotion: Fear
Race Group Pair | D Value | P Value
White vs Black | -0.03956944004345764 | 0.0861
White vs Indian | 0.25412989446485856 | 0.0796
White vs East | 0.09865862545758926 | 0.0529
White vs S.A | 0.05017404715588357 | 0.0853
White vs M.E | -0.09586362548696369 | 0.0978
White vs L.H | -0.06662146694714627 | 0.0983
Black vs Indian | 0.011944015838233298 | 0.0269
Black vs East | -0.006692220211171243 | 0.0387
Black vs S.A | 0.08174631554444992 | 0.0811
Black vs M.E | -0.1330580821754873 | 0.0825
Black vs L.H | -0.007494690778852532 | 0.0521
Indian vs East | -0.041746366947400575 | 0.0844
Indian vs S.A | 0.28256493251567943 | 0.0796
Indian vs M.E | -0.020107921083656045 | 0.0029
Indian vs L.H | 0.014119154160937552 | 0.039
East vs S.A | 0.1364164333490865 | 0.0579
East vs M.E | -0.037001673175448446 | 0.0309
East vs L.H | 0.059650025568377466 | 0.0114
S.A vs M.E | 0.03380083155817873 | 0.0143
S.A vs L.H | -0.09707751721448046 | 0.0308
M.E vs L.H | 0.035814694313811915 | 0.0413

Emotion: Disgust
Race Group Pair | D Value | P Value
White vs Black | -0.42714308319071814 | 0.0811
White vs Indian | 0.05211683726113569 | 0.0617
White vs East | 0.18208445102421816 | 0.0968
White vs S.A | -0.1307219991416388 | 0.0822
White vs M.E | -0.07192664169746048 | 0.0597
White vs L.H | 0.23767131379308898 | 0.0868
Black vs Indian | -0.3537857912341327 | 0.0586
Black vs East | -0.19902881242093007 | 0.078
Black vs S.A | -0.5013268021431969 | 0.0443
Black vs M.E | -0.4606165866782023 | 0.0585
Black vs L.H | -0.29675909291062247 | 0.0318
Indian vs East | 0.2157659250271623 | 0.0669
Indian vs S.A | -0.18664425614865682 | 0.0841
Indian vs M.E | -0.19133772016081327 | 0.0756
Indian vs L.H | 0.25399288810147586 | 0.0961
East vs S.A | 0.21883541845697785 | 0.0286
East vs M.E | 0.10813745060454666 | 0.0218
East vs L.H | 0.4335387269566143 | 0.0422
S.A vs M.E | -0.32412830039258494 | 0.003
S.A vs L.H | 0.17582925258040796 | 0.0147
M.E vs L.H | 0.1865977795086594 | 0.0373

Emotion: Happiness
Race Group Pair | D Value | P Value
White vs Black | 0.5459952903497551 | 0.0412
White vs Indian | -0.07055405784275273 | 0.0971
White vs East | 0.18604198499722696 | 0.0212
