Comparison: AffectNet vs UTKFace
Emotion: Surprise
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.026136546764982477 | 0.0073
0-3 vs 20-39 | 0.01622815926877957 | 0.0151
0-3 vs 40-69 | -0.02303126178077901 | 0.0235
0-3 vs 70+ | -0.04828783540764272 | 0.046
4-19 vs 20-39 | 0.026260492393588707 | 0.0135
4-19 vs 40-69 | 0.017550069230871244 | 0.0318
4-19 vs 70+ | -0.007856238348128833 | 0.0266
20-39 vs 40-69 | 0.02272068950231911 | 0.0485
20-39 vs 70+ | 0.0033874958728456334 | 0.018
40-69 vs 70+ | -0.007421195904217329 | 0.0228

Emotion: Fear
Age Group Pair | D Value | P Value
0-3 vs 4-19 | 0.4035716161412883 | 0.0496
0-3 vs 20-39 | 0.03347230930987307 | 0.0437
0-3 vs 40-69 | 0.2882365187385703 | 0.0194
0-3 vs 70+ | 0.28745433233647255 | 0.0123
4-19 vs 20-39 | 0.06578718755014497 | 0.0156
4-19 vs 40-69 | -0.06039217051373583 | 0.0367
4-19 vs 70+ | -0.057507322470285824 | 0.0323
20-39 vs 40-69 | -0.057860637342828224 | 0.0087
20-39 vs 70+ | -0.049963730679930235 | 0.0337
40-69 vs 70+ | -0.1785032918439832 | 0.0014

Emotion: Disgust
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.08900020308986466 | 0.0482
0-3 vs 20-39 | 0.2726996494369494 | 0.0197
0-3 vs 40-69 | -0.12323579615822595 | 0.0135
0-3 vs 70+ | -0.4230847506403488 | 0.0474
4-19 vs 20-39 | 0.30963889639329645 | 0.0406
4-19 vs 40-69 | 0.0409637625119122 | 0.0434
4-19 vs 70+ | -0.25266357003564255 | 0.0349
20-39 vs 40-69 | 0.27801759270640136 | 0.0213
20-39 vs 70+ | -0.018453078827269088 | 0.0499
40-69 vs 70+ | -0.2868010310393217 | 0.0498

Emotion: Happiness
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.0959179311342546 | 0.0228
0-3 vs 20-39 | 0.4283864832704081 | 0.0086
0-3 vs 40-69 | -0.6521919922188556 | 0.0016
0-3 vs 70+ | -0.3252987491871078 | 0.0229
4-19 vs 20-39 | 0.5880620801278426 | 0.0472
4-19 vs 40-69 | -0.23670457964833835 | 0.0012
4-19 vs 70+ | 0.08262935325186278 | 0.0093
20-39 vs 40-69 | 0.032584644933555056 | 0.0347
20-39 vs 70+ | 0.35630006256498975 | 0.0095
40-69 vs 70+ | -0.46552040937669736 | 0.0367

Emotion: Sadness
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.10576001039850837 | 0.0223
0-3 vs 20-39 | 0.06172348920760445 | 0.0061
0-3 vs 40-69 | -0.0806324439681004 | 0.0251
0-3 vs 70+ | -0.16511481934801808 | 0.0424
4-19 vs 20-39 | 0.07509892109685887 | 0.0074
4-19 vs 40-69 | 0.05058986526375375 | 0.027
4-19 vs 70+ | -0.03053380609965869 | 0.0091
20-39 vs 40-69 | 0.09143690920836778 | 0.0427
20-39 vs 70+ | 0.017057136804673995 | 0.0195
40-69 vs 70+ | -0.012003018815036477 | 0.0467

Emotion: Anger
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.008749171697518125 | 0.0405
0-3 vs 20-39 | 0.007112647869685721 | 0.0119
0-3 vs 40-69 | -0.009752513271989359 | 0.0489
0-3 vs 70+ | -0.02057089701898197 | 0.0279
4-19 vs 20-39 | 0.014570969080690527 | 0.0436
4-19 vs 40-69 | 0.007189875576306492 | 0.0427
4-19 vs 70+ | -0.003078429068928899 | 0.0088
20-39 vs 40-69 | 0.008358060694919503 | 0.0044
20-39 vs 70+ | -0.0005531336461559045 | 0.0302
40-69 vs 70+ | -0.005861822036390995 | 0.0124

Emotion: Neutral
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.11051528565341898 | 0.0412
0-3 vs 20-39 | 0.07037739555033097 | 0.0043
0-3 vs 40-69 | -0.09203880935532699 | 0.0444
0-3 vs 70+ | -0.10897341267875885 | 0.028
4-19 vs 20-39 | 0.06881105155242999 | 0.0484
4-19 vs 40-69 | 0.019484820679829706 | 0.0492
4-19 vs 70+ | 0.0016190826465917261 | 0.0218
20-39 vs 40-69 | 0.08566780483636507 | 0.0318
20-39 vs 70+ | 0.0704713616719912 | 0.0019
40-69 vs 70+ | 0.016282785040652954 | 0.0127

