Comparison: RAF-DB vs FairFace
Emotion: Surprise
Age Group Pair | D Value | P Value
0-2 vs 3-9 | 0.1704604136045083 | 0.0649
0-2 vs 10-19 | 0.01747052335450894 | 0.0399
0-2 vs 20-29 | -0.14429683435698423 | 0.0726
0-2 vs 30-39 | -0.014588407717436568 | 0.0526
0-2 vs 40-49 | 0.21572218230576645 | 0.0724
0-2 vs 50-59 | 0.03490801561405056 | 0.072
0-2 vs 60-69 | 0.0870916139323382 | 0.0696
0-2 vs 70+ | 0.26100963915182007 | 0.0954
3-9 vs 10-19 | -0.07524122192376091 | 0.0676
3-9 vs 20-29 | -0.02364274760265208 | 0.0883
3-9 vs 30-39 | -0.11989127594214681 | 0.068
3-9 vs 40-49 | 0.12634732901176712 | 0.0849
3-9 vs 50-59 | -0.03451042925621946 | 0.0107
3-9 vs 60-69 | 0.05416885722903532 | 0.0186
3-9 vs 70+ | 0.13439314122523302 | 0.094
10-19 vs 20-29 | -0.20946330204138475 | 0.0937
10-19 vs 30-39 | -0.3101085515224701 | 0.0629
10-19 vs 40-49 | -0.01661068050677796 | 0.0036
10-19 vs 50-59 | -0.044183771512437325 | 0.0438
10-19 vs 60-69 | -0.11255015757626755 | 0.0997
10-19 vs 70+ | 0.017476278348334796 | 0.0192
20-29 vs 30-39 | -0.27644764739185995 | 0.0669
20-29 vs 40-49 | -0.02231049209990299 | 0.0506
20-29 vs 50-59 | -0.15870905865516388 | 0.0555
20-29 vs 60-69 | -0.20647044465254813 | 0.0538
20-29 vs 70+ | -0.00435116716410905 | 0.0496
30-39 vs 40-49 | -0.11576463320883597 | 0.0539
30-39 vs 50-59 | -0.24939273858393335 | 0.0831
30-39 vs 60-69 | -0.2327299572709427 | 0.0643
30-39 vs 70+ | -0.14216418339952921 | 0.076
40-49 vs 50-59 | 0.05798195391570231 | 0.0044
40-49 vs 60-69 | -0.04301051701641041 | 0.043
40-49 vs 70+ | 0.25042486197979685 | 0.0772
50-59 vs 60-69 | -0.0993243752745425 | 0.0822
50-59 vs 70+ | -0.023569803936333848 | 0.0583
60-69 vs 70+ | 0.023849582534496032 | 0.0511

Emotion: Fear
Age Group Pair | D Value | P Value
0-2 vs 3-9 | 0.8674788125807349 | 0.074
0-2 vs 10-19 | 0.6738280035199742 | 0.0738
0-2 vs 20-29 | 0.037803875530832344 | 0.0525
0-2 vs 30-39 | 0.7551248054374526 | 0.0458
0-2 vs 40-49 | 0.7975081928529221 | 0.0825
0-2 vs 50-59 | 0.563379929689246 | 0.0304
0-2 vs 60-69 | 0.7859907548507098 | 0.0666
0-2 vs 70+ | 0.8513328192950816 | 0.0518
3-9 vs 10-19 | 0.19796505472578496 | 0.0325
3-9 vs 20-29 | 0.22108013511265348 | 0.0372
3-9 vs 30-39 | 0.02932556791683125 | 0.0047
3-9 vs 40-49 | 0.28537865720451955 | 0.0012
3-9 vs 50-59 | -0.02063858461204927 | 0.0292
3-9 vs 60-69 | 0.14645163956138724 | 0.0077
3-9 vs 70+ | 0.12038680509467276 | 0.0359
10-19 vs 20-29 | -0.0407250009207721 | 0.0428
10-19 vs 30-39 | -0.11593647541932596 | 0.0612
