Comparison: RAF-DB vs FairFace
Emotion: Surprise
Race Group Pair | D Value | P Value
White vs Black | 0.019253815440553206 | 0.0627
White vs Indian | -0.13243335303533973 | 0.0796
White vs East | -0.0227686771081568 | 0.0231
White vs S.A | -0.05059629020445757 | 0.0835
White vs M.E | -0.009548937123060791 | 0.0054
White vs L.H | 0.2368228860561449 | 0.0935
Black vs Indian | -0.046529597661718346 | 0.0469
Black vs East | 0.040385548324315575 | 0.0775
Black vs S.A | 0.079763163976768 | 0.0057
Black vs M.E | -0.0517927282566333 | 0.0936
Black vs L.H | -0.011848191875180488 | 0.0288
Indian vs East | -0.11613762815135714 | 0.0698
Indian vs S.A | -0.016294189700159493 | 0.0442
Indian vs M.E | -0.039598790578958376 | 0.0834
Indian vs L.H | 0.08422290316307537 | 0.0221
East vs S.A | 0.023226957275624047 | 0.0198
East vs M.E | -0.15987584491893148 | 0.0736
East vs L.H | -0.18476055704824484 | 0.0842
S.A vs M.E | 0.00993875672638794 | 0.0121
S.A vs L.H | -0.08181743087755383 | 0.0193
M.E vs L.H | 0.09945507045586402 | 0.0761

Emotion: Fear
Race Group Pair | D Value | P Value
White vs Black | 0.04393641609932614 | 0.081
White vs Indian | 0.15429820247888182 | 0.0154
White vs East | -0.024070976926998947 | 0.0179
White vs S.A | 0.004092318083442251 | 0.0481
White vs M.E | -0.16404532384755113 | 0.0471
White vs L.H | 0.1117828107056958 | 0.0891
Black vs Indian | -0.06207772407342369 | 0.0445
Black vs East | -0.039102672535387586 | 0.0968
Black vs S.A | -0.10202964843565888 | 0.0325
Black vs M.E | 0.11007081018830307 | 0.0134
Black vs L.H | 0.08432888963791695 | 0.0018
Indian vs East | -0.030180358294716325 | 0.0432
Indian vs S.A | 0.05669683502204069 | 0.0951
Indian vs M.E | 0.09920417568580261 | 0.0316
Indian vs L.H | -0.14149860337871006 | 0.0163
East vs S.A | 0.12100787444013325 | 0.0151
East vs M.E | -0.08646417460330239 | 0.0023
East vs L.H | 0.013349631393070892 | 0.0707
S.A vs M.E | 0.32050976638351897 | 0.0737
S.A vs L.H | 0.006464875554698326 | 0.0094
M.E vs L.H | 0.030978804514763654 | 0.0371

Emotion: Disgust
Race Group Pair | D Value | P Value
White vs Black | -0.04755471638711685 | 0.0259
White vs Indian | -0.02245944670320494 | 0.007
White vs East | 0.37846757163942885 | 0.0508
White vs S.A | 0.028972862593052987 | 0.0591
White vs M.E | 0.16599944794982757 | 0.0768
White vs L.H | 0.059781677411242615 | 0.015
Black vs Indian | -0.09343849016400242 | 0.0779
Black vs East | 0.0912916767334282 | 0.0656
Black vs S.A | 0.14360681619225346 | 0.0338
Black vs M.E | -0.30249324427811125 | 0.0989
Black vs L.H | -0.07312574958279089 | 0.0098
Indian vs East | -0.049495976970066295 | 0.0212
Indian vs S.A | 0.010969547936715592 | 0.0485
Indian vs M.E | 0.06147543803976247 | 0.0221
Indian vs L.H | 0.1236000364968467 | 0.0978
East vs S.A | -0.012964022049903672 | 0.0215
East vs M.E | 0.0523192997573286 | 0.0489
East vs L.H | 0.35637797891035816 | 0.0953
S.A vs M.E | -0.12306236526746474 | 0.0226
S.A vs L.H | 0.29835830093956833 | 0.0659
M.E vs L.H | 0.050193338281152584 | 0.0608

Emotion: Happiness
