Comparison: RAF-DB vs UTKFace
Emotion: Surprise
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.005289919877441419 | 0.049
0-3 vs 20-39 | 0.003720239354800894 | 0.0292
0-3 vs 40-69 | -0.00026467631795694456 | 0.0197
0-3 vs 70+ | -0.012897684885796122 | 0.0074
4-19 vs 20-39 | 0.003148637813388395 | 0.025
4-19 vs 40-69 | 0.004643459153769861 | 0.0258
4-19 vs 70+ | -0.002660444807151619 | 0.0178
20-39 vs 40-69 | 0.006036153399413826 | 0.0218
20-39 vs 70+ | -0.0037624954963652074 | 0.0039
40-69 vs 70+ | -0.0006252407861349925 | 0.0242

Emotion: Fear
Age Group Pair | D Value | P Value
0-3 vs 4-19 | 0.2925961510808034 | 0.0044
0-3 vs 20-39 | -0.015556565593488727 | 0.0401
0-3 vs 40-69 | 0.003135419694981043 | 0.0337
0-3 vs 70+ | 0.012852277115875176 | 0.0299
4-19 vs 20-39 | 0.20903433550329592 | 0.0466
4-19 vs 40-69 | 0.16698070730730027 | 0.017
4-19 vs 70+ | 0.1671460964458862 | 0.0461
20-39 vs 40-69 | -0.07782468664234693 | 0.0452
20-39 vs 70+ | -0.06798535806544027 | 0.0382
40-69 vs 70+ | -0.11734341187030364 | 0.0327

Emotion: Disgust
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.003074352404706453 | 0.0184
0-3 vs 20-39 | 0.0013428281843271097 | 0.0481
0-3 vs 40-69 | 0.0056274089477645105 | 0.0368
0-3 vs 70+ | -0.009780489265891958 | 0.0493
4-19 vs 20-39 | 0.005452686473683531 | 0.0333
4-19 vs 40-69 | -0.0014030092144273225 | 0.0291
4-19 vs 70+ | -0.0012317619569696748 | 0.0343
20-39 vs 40-69 | 0.008026596325758226 | 0.025
20-39 vs 70+ | -0.00636642020759604 | 0.0385
40-69 vs 70+ | -0.0025737451754479137 | 0.0262

Emotion: Happiness
Age Group Pair | D Value | P Value
0-3 vs 4-19 | 0.49274493803689895 | 0.041
0-3 vs 20-39 | 0.1232670941981117 | 0.0496
0-3 vs 40-69 | -0.03760094835474788 | 0.0253
0-3 vs 70+ | -0.5270165827135233 | 0.021
4-19 vs 20-39 | 0.5764399604541836 | 0.0308
4-19 vs 40-69 | 0.38094636968873313 | 0.0415
4-19 vs 70+ | -0.10625234351113502 | 0.0345
20-39 vs 40-69 | 0.04649841052658618 | 0.0061
20-39 vs 70+ | -0.44139938248968347 | 0.0079
40-69 vs 70+ | -0.6390266960654847 | 0.0166

Emotion: Sadness
Age Group Pair | D Value | P Value
0-3 vs 4-19 | 0.0016143128272001668 | 0.0408
0-3 vs 20-39 | 0.000822860568838072 | 0.0047
0-3 vs 40-69 | -0.0013224811989589194 | 0.0477
0-3 vs 70+ | -0.008989078437833859 | 0.003
4-19 vs 20-39 | 0.005991154654006638 | 0.0407
4-19 vs 40-69 | 0.003646928867385046 | 0.0349
4-19 vs 70+ | -0.001485713985143014 | 0.0407
20-39 vs 40-69 | 0.004722259876337063 | 0.0183
20-39 vs 70+ | -0.002270887774421857 | 0.0493
40-69 vs 70+ | -0.00714151010452828 | 0.0232

Emotion: Anger
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.0020204742559287348 | 0.0266
0-3 vs 20-39 | 0.0010720548345207607 | 0.034
0-3 vs 40-69 | -0.005578094353435926 | 0.008
0-3 vs 70+ | -0.009538560196086631 | 0.0092
4-19 vs 20-39 | 0.005059117383613298 | 0.0315
4-19 vs 40-69 | 0.004437017148014021 | 0.0442
4-19 vs 70+ | 0.002207931553541599 | 0.0033
20-39 vs 40-69 | 0.002964155951873833 | 0.0062
20-39 vs 70+ | -0.0006735668377720801 | 0.0322
40-69 vs 70+ | -0.002057103084128347 | 0.0195

Emotion: Neutral
Age Group Pair | D Value | P Value
0-3 vs 4-19 | -0.00047459479830171033 | 0.0241
0-3 vs 20-39 | 0.0020754176121380342 | 0.0096
0-3 vs 40-69 | 0.002142711574822922 | 0.0427
0-3 vs 70+ | -0.009430251800279347 | 0.0132
4-19 vs 20-39 | 0.004715528315745262 | 0.0055
4-19 vs 40-69 | 0.002468107499584168 | 0.0144
4-19 vs 70+ | -0.006873170403095179 | 0.0244
20-39 vs 40-69 | 0.0053538559067879245 | 0.0311
20-39 vs 70+ | -0.0033974323310019504 | 0.0397
40-69 vs 70+ | -0.0002525893701240067 | 0.031

